热知识，他人特效和距离拉最低是看不见的，并不用担心他卡到你
哈哈哈哈哈哈哈 长毛那个好贴切
春泥还不如原来的大花花
woc这朝圣言，太漂亮了吧
战兽老二骨刺
龙卷风摧毁停车场！
天策：出来吧老婆！
好 龙卷风
虽然很帅，但是真的满满的显卡香气啊
冰心加强的哈哈哈哈哈哈哈哈
海鲜市场哈哈哈哈哈
新的烟花出现了
这雷看起来真有安全感
我趣，全是电，冰心史诗级加强
丐帮有了也没用，反正进不了本
就原版直接放大嘛还换角度播两遍…
暴雨蒲公英？
刀宗给了多少
站着吃急曲只为了粉色小鱼特效？
明教丐帮不如不改呢
下一步，外观附带技能特效。
春泥还不如原来的…
？？刀宗有啥区别，看起来更大一点？
又是海产品！！！
正事没做好，花里胡哨的特效更可能把我卡掉线了……我感觉可以浅喷一下
歌舞团全新特效
一看就没有力量！
卧槽苍云的都好帅
丐帮这个…..
新的歌舞团特效
我绰，还是个龙爪
给我整沉默了
还不够炫 给我来点更炫的 我愿意付费
真变成蛋壳了
你看不到有没有可能是同屏特效开低了
长歌还挺好看诶
我觉得挺不错的，又不影响属性
还嫌游戏不够卡是吧！
整个技能特效都要被说，你喷壶精转世？
显卡的香气
哦哦哦这个好看！
可以花钱买么
优化和其他不冲突，美术也搞不来优化，望周知。
但是技能特效和优化组是两个组吧？
游戏特效都要喷的，生活不顺心的事太多了是吧
看起来就砍人很疼
水母攻击
完了，我真成虫了
煤气灶？
万花的玉石没啥太大区别
哈哈哈哈哈哈哈哈和
大攻防我都屏蔽到0
奶毒长毛了
银杏特效死了？
小野猪的好酷炫
搞个技能特效也叫不干正事啊，真就啥都喷
优化是不可能搞得，西山居指望你们换高配电脑。
啊？脚印放大术
这头顶是个啥？牛头？
前面的，你就是西卫兵吧
霸刀两眼一黑
笑死了霸刀这
飞出去的是啥？暴雨梨花球？
打gf的时候怎么办
我觉得可以出，但是能不能给我一键屏蔽其他人特效的功能
炸鱼？
免费的技能皮肤诶。。。我一定得拥有！！！好好看，超喜欢
1660s不开花里胡哨的画质，打本攻防根本没影响
真虫的力量
技能特效可以选择屏蔽其他人的
就喜欢花里胡哨，怎么了
皮蛋那个笑死我了
万花还是一路既往的没人爱
纯阳的这个看得出来个什么啊……
这个帅
啊，我就一个风车？
令人迷惑的还不让人说了？
如果她忙着出外观，你随便喷但是这种免费的，为什么不能来点？
打攻防不会屏蔽特效？
蓬莱炸鱼了！！！
皮蛋！！！
这还不是正事？
有屏蔽技能特效的嘛，想开的开觉得挡视角的关不就得了
啊？
明教这个朝圣言特效是不是不太对 之前看到的要比这个华丽很多 
25衍天团建，显卡的香气
好酷的蝎心！！！！！
改个蛋壳？
别急别急别急别急别急别急别急别急别急别急别急
说一句纯阳的特效很普通应该不会很过分吧
游戏不优化搞这些花里胡哨的你是嫌我上个游戏还不够卡是吧？
这怎么不是正事？真就什么都喷？
先想想怎么才能让游戏不卡吧，整这些花里胡哨的
说花里胡哨的，你可以不要啊，又不是强制的
干点正事吧，西山居居！
能搞一下优化吗？搞这些花里胡哨的有什么用
青山共我？
你这蝎心怎么事1.5秒读条啊？不配加速吗？
好看
皮蛋
这个好看
笑死了明尊
皮蛋哈哈哈哈哈哈哈哈哈哈或或或或
没看出来
它的正事不就是割韭菜么，还能有什么正事
飞出去了一群小蝌蚪？？？？
龙王喷水
你帅你的。我屏蔽我的
这个好傻
天策交钱了？
对，宁愿没有这些琐碎，先把优化搞好点
丐帮这是啥啊，没事吧你们。
毕竟优化又不挣钱，搞这些先把韭菜割了再说
血饮狂刀！
看不到在设置里同屏特效数拉到1000，特效裁剪距离调成最远，在看不见就是电脑的问题了
我喜欢
你出这个无所谓 什么时候出了收费技能特效你就该死了
卡可以屏蔽，不是在这里狗叫
这什么鬼玩意亢龙有悔
小青虫喷水哈哈哈哈哈哈
你们就是不肯放弃水母是吗
蓬莱这，有亿点点牛逼
